statement_id,speaker,speaker_role,quote,passage_context,venue,venue_type,date_value,date_precision,statement_type,search_method,producing_query,source_url,notes
11,Ron Hunter,Georgia State University men's head basketball coach (at publication); out-of-roster college coach,"So I don't get fined and get kicked out and not coach again, I've got to be careful with what I say.","""In 26 years in basketball, I don't know if I've been so frustrated as I've been this year. Extremely frustrated,"" Hunter said during the press conference. ""But I can't get into why. I'm going to have my say in this one day. It's not about the officiating in this game [on Jan. 31 vs Arkansas State], but there are some things that I'm extremely frustrated about."" ... Hunter said because of rules regarding what coaches can say about officials, he had to watch his words. ""I don't know,"" Hunter said at the press conference. ""So I don't get fined and get kicked out and not coach again, I've got to be careful with what I say.""","The Signal (Georgia State University student newspaper), postgame press conference report",newspaper_article,2015-02-03,day,personal rule,topic_search_database,"AWN slot 7: advice for coaches postgame press conference (alltext), page 1 rank 12",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/1535187AA31DDE40,Passage ellipsis marks intervening background sentences in the source article; both quoted blocks verbatim. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07).
12,Jack Ramsay,"NBA/college basketball coach (Portland Trail Blazers, Buffalo Braves, Philadelphia 76ers, Indiana Pacers; St. Joseph's University)","I will praise them privately, before the team or in the press.","When we do play well, I want the players to know that their efforts are appreciated. I will praise them privately, before the team or in the press.",The Coach's Art (Jack Ramsay with John Strawn; Timber Press 1978),book,1978,year,personal rule,coach_name_search,"""Jack Ramsay"" basketball book excerpt (media OR press)",http://hoopthoughts.blogspot.com/2014/04/jack-ramsay-coachs-art-part-i.html,"Verbatim text seen on Hoop Thoughts blog (April 2014) which directly excerpts The Coach's Art chapter ""The Team Game"". Direct archive.org access (https://archive.org/details/coachsart0000rams) requires authenticated borrowing. Unresolved lead: that URL may contain the known passage about never criticizing a player in print. BOOK CONFIRMATION 2026-07-05 (sonnet verification agent): sentence found verbatim in The Coach's Art via openlibrary search-inside, single hit (edition OL4718651M; archive id coachsart0000rams): '...efforts are appreciated. I will praise them privately, before the team or in the press. We all need a...'"
13,Marc Isenberg,Athlete advocate; national columnist for Basketball Times; author of Money Players; non-coach adviser writing for athletes and coaches,"Dealing with the media is 99% commonsense and 1% eye contact. ... 7. Know how and when to say, ""no comment"" It's OK to courteously not comment on something you're asked. As Plato once said, ""Wise men speak because they have something to say; fools because they have to say something."" 8. Do not lie or mislead If you're asked a question you're not prepared to answer, speak the truth or not at all. The lie is often bigger than the original misdeed. 9. Avoid off the record Don't hide behind anonymity. Embrace the new reality that there are no secrets. Eventually, everything comes out.","Dealing with the media is 99% commonsense and 1% eye contact. Here's my short guide to dealing effectively with the media. ... Here are my Top Ten Tips for Dealing with the Media: 1. Be personal Make eye contact. Call reporters by their first name. Be friendly even when they're not interviewing you. 2. Be prepared Think about what you want to say beforehand. For postgame interviews, take a minute to collect your thoughts. For feature stories, outline key points in your mind or on paper. 3. Be professional and respectful Show up on time for scheduled interviews. Understand the writer's job is to report good and bad. Don't take what they say personally. 4. Be engaging Give thoughtful answers. Appropriate humor is welcome. No ethnic, gender or religious slurs or insults. Give concise answers. 5. Be accommodating Befriend the media. They are your ally - or your worst enemy. 6. Live by the ""Locker room code"" What happens in the locker room should stay in the locker room. Don't air your dirty laundry in public by throwing coaches and teammates ""under the bus."" (On a related note: Wherever possible, avoid cliches!) 7. Know how and when to say, ""no comment"" It's OK to courteously not comment on something you're asked. As Plato once said, ""Wise men speak because they have something to say; fools because they have to say something."" 8. Do not lie or mislead If you're asked a question you're not prepared to answer, speak the truth or not at all. The lie is often bigger than the original misdeed. 9. Avoid off the record Don't hide behind anonymity. Embrace the new reality that there are no secrets. Eventually, everything comes out. 10. Act like this is fun After all, it's still just a game!","'Top Ten Media Tips for Athletes and Coaches', coachgeorgeraveling.com (guest post by Marc Isenberg), May 30 2012",article,2012-05-30,day,advice,topic_search_open_web,"slot 2 (t2, reissue 1) and slot 4 (t4): page content gone for agents; recovered by the directing session via Wayback snapshot 20231202090406",http://coachgeorgeraveling.com/top-ten-media-tips-athletes-coaches/,"RECOVERY PROVENANCE + MISATTRIBUTION CORRECTION: both agents' logs attributed this page to George Raveling from the domain; the post's byline and author bio are Marc Isenberg's - corrected here, and George Raveling remains without a recorded item (his authored media-tips content was not found). Numbered-tip headers run into their body text as printed (list line breaks flattened to spaces). Cross-sport examples (MLB) surround the passage; basketball context rests on the author (Basketball Times columnist), venue (Raveling's coaching site), and audience - flagged borderline."
14,Eddie Sutton,College basketball coach (Creighton; Arkansas 1974-85; Kentucky 1985-89; Oklahoma State 1990-2006); Hall of Fame,"I don't speak at service clubs because if I speak at a Rotary Club meeting and I turn down a Kiwanis Club meeting, they are mad. If you turn them all down—that's your policy.","Frank had told me in Arkansas after I had been all over this state. He said, 'Let me tell you why I have a policy. I don't speak at service clubs because if I speak at a Rotary Club meeting and I turn down a Kiwanis Club meeting, they are mad. If you turn them all down—that's your policy.' I finally did that. When I got to Kentucky, that's what I said.","Voices of Oklahoma oral history interview conducted September 30, 2010; interviewer John Erling",oral_history,2010-09-30,day,personal rule,coach_name_search,Eddie Sutton basketball publicly,https://voicesofoklahoma.com/interviews/sutton-eddie/,"Policy attributed in narrative to ""Frank"" (likely Frank Broyles, Arkansas AD); Sutton explicitly adopts it as his own rule (""I finally did that. When I got to Kentucky, that's what I said.""); aboutness is public speaking management rather than press/media specifically"
15,Billy Donovan,"Head coach, men's basketball, Chicago Bulls NBA (2020-2026); previously University of Florida (1996-2015) and Oklahoma City Thunder (2015-2020); Naismith Basketball Hall of Fame inductee (2025)","What I'm not going to do is when [the media] asks me these questions, if I feel like it's on me, I'm not going to come up with something else. I do that, then how can I be honest with the players? How can I be truthful with myself?","Donovan explained his accountability philosophy in a media availability session after the Bulls' season ended. He said: 'I'm never going to be coaching 82 games and 48 minutes every night and not look back and say, ""Geez, I made a mistake here, I made a mistake there."" I've been someone that's always looked at myself first.' He continued: 'What I'm not going to do is when [the media] asks me these questions, if I feel like it's on me, I'm not going to come up with something else. I do that, then how can I be honest with the players? How can I be truthful with myself?' He added: 'That locker room to me is really, really sacred. When you stand up in front of your team to talk to them, I want them to feel like: ""This guy is telling us what he really thinks. He's not out here trying to manipulate, trying to spin things.""' He concluded: 'No, I can't. I get the idea that being accountable opens you up to things in this position, but you have to be true to how you feel. That's the only way I can be.'","Chicago Sun-Times, article titled ""Bulls coach Billy Donovan holds himself accountable for team's performance"", by Joe Cowley",article,2022-04-12,day,personal rule,coach_name_search,Billy Donovan basketball media press approach philosophy coaching,https://chicago.suntimes.com/bulls/2022/4/12/23022461/bulls-coach-billy-donovan-accountability-season-start-finish-playoffs,"Article by Joe Cowley, Chicago Sun-Times, April 12 2022. [the media] bracket in quote may be editorial substitution for original pronoun (e.g. 'they'); presented as verbatim in fetched article. Identity confirmed: Chicago Bulls NBA head coach."
16,Nate McMillan,"Head Coach (interim), Atlanta Hawks",But unfortunately my comments were taken out of context. My intentions were never to suggest any type of bias as it relates to the league and our upcoming playoff series.,"We are excited about playoff basketball. It's an exciting time for the NBA. But unfortunately my comments were taken out of context. My intentions were never to suggest any type of bias as it relates to the league and our upcoming playoff series. This type of narrative does not in any way represent me and what I stand for as coach of the Atlanta Hawks. I stand by my position in respecting the Knicks as an organization and applaud the work they have done this season. My team understands the challenge ahead, and we most certainly look forward to the tough competition. That was my intention when I had the conversation a few days ago. We're going to put this behind us.","ESPN, ""Atlanta Hawks interim coach Nate McMillan says his comments about New York Knicks were 'taken out of context'""",article,2021-05-21,day,reflection,coach_name_search,"""Nate McMillan"" basketball ""call out""",https://espn.com/nba/story/_/id/31484735/atlanta-hawks-interim-coach-nate-mcmillan-says-comments-new-york-knicks-were-taken-context,"Original statements May 19 2021 (Zoom media call with Hawks reporters); NBA fine of $25,000 announced May 20 2021; this walk-back statement made at May 21 2021 media availability; quotes verbatim as reported by ESPN contemporaneously"
17,Don Sicko,"Former NCAA Division I men’s head basketball coach, Detroit Mercy Titans (1982–1987); prior assistant coach at Michigan and Kent State; currently a professional scout and regular contributing writer at Hoop Coach (hoopcoach.org). Identity confirmed via Wikipedia, sports-reference.com listing, coachesdatabase.com, and the site's own author page.","While I was watching and listening to Bird, I remembered a Doc Rivers press conference during the Donald Sterling fiasco and the same thought occurred both times- just how damn good both were as they each explained the pertinent circumstances within the vision each had for their programs.","When the ex- Pacers’ President Larry Bird chose not to renew Frank Vogel’s contract and for some reason I chose to watch the entire press conference. Whether one agreed with the decision or not, it was obvious that Bird really would have preferred not to make that decision but felt compelled to do so because he believed Vogel’s “voice” had lost some of its effectiveness over the years (my words, not Bird’s.) When asked by the media if Vogel had “lost the locker-room”, Bird was very firm that wasn’t the case. Bird went on to say that it’s common in the NBA for players to naturally begin to tune out coaches by the 3-year mark. Vogel lasted 5 ½ years and Bird more than implied that Vogel will be hired soon and he would receive Bird’s highest recommendation. While I was watching and listening to Bird, I remembered a Doc Rivers press conference during the Donald Sterling fiasco and the same thought occurred both times- just how damn good both were as they each explained the pertinent circumstances within the vision each had for their programs.",Hoop Coach (hoopcoach.org) — article “10 Tips for Coaches to Deal with the Media”,article,2016-05-13,day,reflection,topic_search_open_web,"slot 13: basketball coach ""media relations"" advice",https://www.hoopcoach.org/10-tips-for-coaches-to-deal-with-the-media/,"Dating is inferential, not read directly off the page (see date_basis) -- flagged for reviewer sign-off on the ~2016 approximate date. Coach-on-coach commentary praising BOTH Bird and Rivers together, rather than Sicko's own statement; classified as statement_type=reflection (Sicko's own reflection on press conferences he observed) since the forced three-way label doesn't have a dedicated 'commentary on others' option -- flagging this labeling choice for reviewer. Same source as other hoopcoach.org rows; see first row's notes for dedup detail. Note: the earlier 'lost the locker-room' phrase in this same passage is NOT a verbatim Bird quote -- it is the media's question as paraphrased by Sicko (third-party recollection) and was correctly excluded rather than recorded (see log near-misses)."
18,Dinah Day,"Image and communications consultant who trains coaches on media interactions (former ESPN sportscaster); engaged by USC athletics, and presented earlier the same year to about 400 high school and college basketball coaches at the Women's Basketball Coaches Association convention","It might be good to spend a half day being inconsiderate, irresponsible, inappropriate and impolite.","Indeed, in one session, the coaches learned a few tips for handling pesky reporters who try to bait them into saying things they later wish they hadn't. Day counseled the coaches to prepare themselves with interesting answers to the sort of tough questions reporters are likely to ask. And she advised them to practice their repartee live, preferably with a video camera, so they can view the tape and make corrections, just as most of them do with their players' performances. All the coaches were videotaped talking about their lives and their opinion of their appearances. A few were also videotaped while they fielded hostile interview questions. The latter brought up a spirited discussion on how to satisfy journalists' needs for colorful quotes and provocative sound bites-without necessarily trashing their opponents or themselves in the process. Some of the coaches shared their unique methods for coping. ""Reporters don't want to listen as slow as I talk,"" said Lisa Love, head coach for women's volleyball, noting that her speech speed can work to her advantage. ""I sometimes don't have to give interviews."" ""In sports, the one thing you don't want to do is come off too cocky,"" head tennis coach Dick Leach warned. But Day found Leach's interview style a bit too considerate, responsible, appropriate and polite. ""It might be good to spend a half day being inconsiderate, irresponsible, inappropriate and impolite,"" she suggested.","Los Angeles Times, Home Edition (feature ""Image Adviser Coaches Coaches"")",article,1990-11-05,day,advice,topic_search_database,"basketball coach dealing with the media advice [ProQuest R-A unquoted variant (disclosed), UCSD 165-database session, Newspapers source-type facet, relevance rank r1]",https://www.proquest.com/docview/3258882387,"D7 professional coach advisor class. KEN'S TABLE RULING row 3 (2026-07-07): KEEP confirmed. SPAN REATTRIBUTION AT BUILD (flagged for Ken, reversible): the register's tabled span (""they're going to have to be much more careful from a media and TV standpoint"") reads in the article as athletic director Barbara Hedges' framing (""If anything, she figured...""), so the row anchors on Day's own verbatim advice span to coach Dick Leach; Day's core counsel (prepare answers to likely tough questions; rehearse on video) is the reporter's paraphrase and stays in passage_context. WBCA sentence verbatim from the article: ""Earlier this year, for example, Day did a presentation for about 400 high school and college basketball coaches attending a convention of the Women's Basketball Coaches Assn. in Knoxville, Tenn."""
19,Lute Olson,Head Basketball Coach University of Arizona,I had a weak moment.,"Q: So Lute, when you talked to myself and to Bruce one day, you were OK to talk to us then? Because you did talk to us. A: I had a weak moment. Q: With FMLA, you can talk right? The lawyers have said you can talk. You just didn't want to. A: I was told that I could not talk. Q: They told you that at the very beginning back in November? A: I think after they read things that I had said to you two guys. So you're the two that got me in trouble.",Lute Olson news conference McKale Center Tucson AZ,presser_transcript,2008-04-01,day,reflection,coach_name_search,"""Lute Olson"" basketball ""press conference""",https://tucson.com/sports/college/wildcats/lute-olson-news-conference-transcript/article_4b4ebd6d-dbca-5f7f-a758-4c85edded03e.html,Borderline: quote is brief (4 words) but passage_context carries the substance; full exchange shows Olson's awareness of the consequences of having spoken to the press; kept per protocol instruction to record all qualifying candidates
20,Walt Hopkins,"WNBA head coach, New York Liberty","But I can't say that, because referees are above reproach. They don't have to go to a press conference after games. They don't have to explain the mistakes they made, why they did what they do. I don't know where the accountability's gonna come from, but it needs to happen.","""There are a lot of things I want to say about the officiating in the WNBA and about the lack of respect this team's gotten all season,"" Hopkins said. ""But I can't say that, because referees are above reproach. They don't have to go to a press conference after games. They don't have to explain the mistakes they made, why they did what they do. I don't know where the accountability's gonna come from, but it needs to happen. It was a bad season. The way they treated us was bad.""",ESPN,article,2021-09-23,day,reflection,coach_name_search,"""Walt Hopkins"" basketball ""call out""",https://www.espn.com/wnba/story/_/id/32267640/new-york-liberty-walt-hopkins-refs-give-us-respect-young-team,"Borderline call: surface topic is officiating (ordinarily OUT as object-level presser speech); flagged IN because the substance is self-censorship reasoning tied to consequence-awareness of criticizing referees, plus an explicit press-conference-accountability contrast. Identity confirmed as WNBA New York Liberty head coach (2020-2021), distinguished from Mike Hopkins (Washington), Walter Hopkins Jr. (Nevada Basketball Academy/UVU), and other same-surname figures in shared search results. Same statement/event also carried by Yahoo Sports (https://sports.yahoo.com/wnba-playoffs-liberty-walt-hopkins-blames-officials-all-season-nneka-ogwumike-mercury-152538580.html); not double-recorded as a separate candidate."
