item_id,layer,search_method,collection_unit,roster_match,speaker_is_coach,advises_coaches,speaker,speaker_role,quote,quote_fidelity,passage_context,venue,venue_type,date_value,date_precision,date_basis,near_cutoff,statement_type,producing_query,source_url,relevance_rationale,notes,deviation_flag,expected_borderline,disposition_authority,disposition_reason,ra_rank
L01,stage4b_awn,topic_licensed,awn_pilot,TRUE,TRUE,NA,Flip Saunders,"Minnesota Timberwolves head coach (at publication); later Detroit, Washington, Minnesota; recently-active roster coach",I think the thing is you have to deal with coaching players and dealing with the media within your personality. My only advice to anybody is you have to do what is comfortable.,verbatim,"One of the reasons Saunders makes himself so accessible - especially in the case of talk radio - is because he understands the media's role. ""A lot of times things they do are to create listenership,"" he said. ""I kind of take everything with a grain of salt and look at it more as an enjoyable fun type of thing rather than a thing that can be adversarial."" While Saunders is comfortable taking this approach, he said the same cooperation can't be expected from everyone. ""I think the thing is you have to deal with coaching players and dealing with the media within your personality,"" he said. ""My only advice to anybody is you have to do what is comfortable.""","Minnesota Star Tribune, BROADCAST SPORTS column (Judd Zulgad)",newspaper_article,2000-03-03,day,"On-record publication date of the newspaper issue in the Access World News database record; Access World News (NewsBank), UCSD license, retrieved 2026-07-06; archived at corpus_v4/staging/stage4b_archives/",FALSE,advice,"AWN slot 2: basketball coach ""dealing with the media"" advice (alltext), page 1 rank 19",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/0EFCCD12B3C9D073,Coach's own advice on dealing with the media (advice within your personality; do what is comfortable) plus grain-of-salt reflection on media's role; IN under criteria_v1 core aboutness,"Attribution interjection ('he said') removed at quote join, both sentences verbatim contiguous in source. Speaker expected in frame roster - roster_match to be verified at any merge build. Source is the Star Tribune, a documented census paywall block (429). SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07). PROQUEST RE-FIND 2026-07-09 (run log slot 2 r29): the same Star Tribune column page, dated 2000-03-03, was independently re-found and its OCR text re-verifies this passage and date. First observed AWN/ProQuest cross-vendor overlap.",NA,FALSE,delegated,"IN-4/IN-8: coach's own advice on dealing with the media within one's personality, plus grain-of-salt reflection on the media's role; recently-active roster NBA coach",48
C27,census_b2b11,person,c13,TRUE,TRUE,NA,Doug Collins,NBA head coach (Chicago Bulls 1986–89; Detroit Pistons 1995–98; Washington Wizards 2001–03; Philadelphia 76ers 2010–13); Naismith Memorial Basketball Hall of Fame inductee 2024,I thought I was just talking about sort of what I expected. And I think as a coach that's what you do -- there was nobody called out.,exact_as_printed,"Collins, speaking to reporters at a Sixers practice the day after his viral 11-minute postgame press conference, reflected: ""I guess I was trending,"" Collins joked. ""Viral, trending. I said, 'What is all this stuff?' It was interesting, I went back and I thought, 'Wait a second,' I didn't get the slam, I didn't get being hard, all that kind of stuff. I thought I was just talking about sort of what I expected. And I think as a coach that's what you do -- there was nobody called out. I've always been disappointed if I felt like the team didn't do everything we could to win. I was trying to get the spin on this about how this was spun that I was being so hard. But I don't think I did that at all. I was shocked, my phone was blowing up on me and stuff like that. I didn't realize I had been so tough.""",Collins surprised by stir over comments — ESPN Bulls Blog; corroborated by Collins shocked by reaction to postgame rant — NBC Sports Philadelphia,article,2013-03-01,day,NBC Sports Philadelphia dated February 28 2013 (updated March 1 2013); ESPN Bulls Blog published March 1 2013; remarks made by Collins at Sixers practice on February 28 2013 the day after his viral February 27 postgame press conference; dates corroborated across two independent outlets,FALSE,reflection,"""Doug Collins"" basketball coach ""call out"" (query 4)",https://www.espn.com/blog/chicago/bulls/post/_/id/12381/collins-surprised-by-stir-over-comments,Collins reflects on his own viral postgame press conference the day after delivering it; self-assesses his tone (did not intend to be hard); declares a personal rule — he does not publicly call out individual players who gave full effort; meets inclusion criteria for reflections on the coach's own press conferences (self-assessment episode recollection) and for personal rules for the coach's own public speech and podium conduct,Corroborated verbatim at https://www.nbcsportsphiladelphia.com/nba/collins-shocked-by-reaction-to-postgame-rant/391585/ (Feb 28 / Mar 1 2013); original rant was an 11-minute February 27 2013 postgame press conference after 76ers loss to Orlando Magic; Collins also adds 'I have never been a guy that if you lost a game but competed to your best I was never disappointed' — this extends the personal rule (disappointment threshold drives public criticism); basketball identity confirmed: Paul Douglas Collins born July 28 1951 former Sixers player turned NBA head coach and broadcaster — not Rep. Doug Collins (Georgia politician),FALSE,FALSE,delegated,IN-1 self-assessment of own viral presser + IN-3 no-call-out rule (P01/P04 class),51
P23,pilot,person,p5,TRUE,TRUE,NA,John Wooden,"College head coach (UCLA, 1948-1975)","I would never publicly criticize a player for poor performance. Even in moments of extreme frustration, I would check myself because it just didn't seem right—because it didn't seem like something my father would have done.",exact_as_printed,"In his book with Don Yaeger, A Game Plan for Life, Coach expanded on how his father's example impacted the way he talked about his players: I would never publicly criticize a player for poor performance. Even in moments of extreme frustration, I would check myself because it just didn't seem right—because it didn't seem like something my father would have done. I admired my father's refusal to speak badly about others, but I don't think I necessarily set out to make that a rule for myself. I imagine I considered that to be too lofty a goal. Yet as time went on, I found it was a practice that had etched itself onto my soul, so that if I ever slipped up on that matter, I felt pain rather than satisfaction.","A Game Plan for Life (book with Don Yaeger), quoted at TheWoodenEffect.com",book,2009,year,published,FALSE,personal rule,"""John Wooden"" book excerpt criticize player publicly press",https://www.thewoodeneffect.com/never-criticize-keep-it-positive/,"Clear keep: explicit personal rule against criticizing a player publicly, i.e., a claim about a coach's public statements.","Verified verbatim on TheWoodenEffect.com (official Wooden-family site, page dated 2019-07-10), which attributes it to A Game Plan for Life (2009); book text itself not independently checked. Secondary source page. Attribution given as A Game Plan for Life (Wooden with Don Yaeger). Text verbatim as rendered on secondary source page; introductory framing sentence is from the secondary-source author. No Open Library search attempted for this item.",NA,NA,ken_full_review,rule,54
L09,stage4b_awn,topic_licensed,awn_pilot,FALSE,FALSE,TRUE,Andrea Kirby,"Founder, Andrea Kirby Coaches Inc.; former sportscaster; pioneer professional media coach for athletes and coaches (2,000+ clients incl. NBA teams); professional coach advisor",He learned how he looked - stupid - and why writers were asking him those questions. He learned the questions weren't personal and how to answer them.,verbatim,"Among the biggest concerns athletes have is feeling out of control in front of the press, Kirby says. ""The most common mistakes they make are they assume [the press] is all out to get them, some think they don't need the media, others think they have to be different or perfect, and that they have to answer the question. All of those are wrong. My whole drill is to ... get them in the right attitude and then teach them some skills, and one of the key skills is to tell stories."" ... In a press conference this year new Toronto Raptors coach Darrell Walker was defensive, feisty, and rude when asked to answer questions about his star player. Not only did he use profanity, but he ridiculed reporters. During a workshop for the team's coaches and managers, Kirby showed the tape. ""He learned how he looked - stupid - and why writers were asking him those questions,"" she says. ""He learned the questions weren't personal and how to answer them.""","The Christian Science Monitor, feature on sports media coaching",newspaper_article,1997-07-09,day,"On-record publication date of the newspaper issue in the Access World News database record; Access World News (NewsBank), UCSD license, retrieved 2026-07-06; archived at corpus_v4/staging/stage4b_archives/",FALSE,advice,"AWN slot 4: how basketball coaches should handle the media (alltext), page 2 rank 3",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/0EB41EF88E1FCFAE,"Professional media coach's account of the workshop an NBA client (Toronto Raptors) hired her to run, evaluating and correcting coach Darrell Walker's press-conference conduct (how he looked; the questions weren't personal; how to answer them) — basketball-specific span kept per Ken's 2026-07-06 adviser-specificity ruling","BORDERLINE under the 2026-07-06 basketball-specific ruling: Kirby's practice and the main quote span all sports; the basketball-specific span is the Walker presser-conduct passage (included in passage_context). Bracketed [the press] and mid-quote ellipsis are IN THE SOURCE as printed. FIRST female professional-adviser speaker if kept. QUOTE CORRECTION 2026-07-07 (directing session, Ken's R2 adviser-specificity ruling): the originally recorded quote was Kirby's generic all-sports advice span ('The most common mistakes they make...'), excluded under the ruling; the item is re-anchored to the basketball-specific Walker span from the same source passage. The generic span remains visible in passage_context. Attribution interjection ('she says') removed at the sentence join. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07).",NA,TRUE,delegated,"Ken R2: the generic all-sports advice span is excluded; the basketball-specific span is kept — Kirby's account of the workshop the Raptors (an NBA client) hired her for, evaluating and correcting coach Darrell Walker's press-conference conduct; D7 professional coach advisor; T01/T02 adviser-evaluation precedent, type advice. QUOTE CORRECTED at build to the Walker span",57
L14,stage4b_awn,topic_licensed,awn_full,FALSE,TRUE,NA,Paul Hewitt,Georgia Tech men's head basketball coach (2000-2011); out-of-roster college coach,"You read so many stories about how kids are making poor decisions in what they send out. Sometimes the coaches do, too.",verbatim,"Shumpert didn't make much of an argument with his coach, nor did he have room to because Hewitt has taken his own advice. Hewitt had a bad experience with Twitter last season and has stopped tweeting for now. ""You read so many stories about how kids are making poor decisions in what they send out,"" Hewitt said. ""Sometimes the coaches do, too."" He laughed. He was alluding to his exchange with Tech fans on Twitter in February, when he called out critics and challenged fans not ""to be judgmental"" but to support the team, creating a backlash.","The Atlanta Journal-Constitution, ACC Media Day story on coaches' use of Twitter (Carroll Rogers)",newspaper_article,2010-10-26,day,"On-record publication date of the newspaper issue in the Access World News database record; Access World News (NewsBank), UCSD license, retrieved 2026-07-07; archived at corpus_v4/staging/stage4b_archives/",FALSE,reflection,"AWN slot 4: how basketball coaches should handle the media (alltext), page 8 rank 1",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/1331A16D4B1664E8,"Coach's reflection that coaches, like players, make poor decisions in what they post publicly — self-referential to his own Twitter call-out of critics, the backlash, and his decision to stop tweeting (narrated in the passage)","Attribution interjection removed at quote join. D1 social-media venue scope: coach meta-statement about public posting, printed in a newspaper. His player-directed line ('I always tell them, You're not that important') EXCLUDED under R1. Archive awnf_s4p8_r1_twitter.",NA,FALSE,delegated,"IN-1/IN-2 family: reflection that coaches make poor decisions in what they post publicly, self-referential to his own call-out-of-critics backlash and stopping tweeting; D1 social-media meta; out-of-roster college coach, D6",58
C105,census_b2b11,person,c44,TRUE,TRUE,NA,Roy Williams,UNC/Kansas head basketball coach,"There was a time that I wanted to make sure that I almost never cursed. And then I started getting away from that. And, so, when I did that, I wanted to try to not get out of hand. And, so, dadgum was very easy because I used that my whole life, even when I was a kid in high school. And then people laughed at it and I always thought, ""let's just give them something to complain about."" ... I didn't want the real bad ones, to say the least. ... I'll have years where I'll be a lot better than other years. Only the last five or six have I felt like I've done a poor job of that. The rest of the time, I thought I've done all right.",printed_with_ellipsis,"On the ""Royisms"" episode of ""Roy: That Dadgum Legend"" podcast, Williams explains his approach to cursing in public (the article separately notes an actual curse word ""slipped out during a Notre Dame press conference""), describing a self-imposed limit (e.g., aiming for no more than seven curse words his first year at Kansas) and his substitute word ""dadgum"": ""There was a time that I wanted to make sure that I almost never cursed. And then I started getting away from that. And, so, when I did that, I wanted to try to not get out of hand. And, so, dadgum was very easy because I used that my whole life, even when I was a kid in high school. And then people laughed at it and I always thought, ""let's just give them something to complain about."" ... I didn't want the real bad ones, to say the least. ... I'll have years where I'll be a lot better than other years. Only the last five or six have I felt like I've done a poor job of that. The rest of the time, I thought I've done all right.""","""Roy: That Dadgum Legend"" podcast (Capitol Broadcasting/WCMC), as reported by Tar Heel Tribune",podcast,2021-10-27,day,article/podcast episode release date,FALSE,personal rule,"Q9 - ""Roy Williams"" basketball podcast (media OR press)",https://tarheeltribune.com/2021/10/27/in-podcast-roy-talks-bernstein-interview-cursing-and-why-he-said-yes-to-unc-the-2nd-time/,"Explicit personal rule for his own public speech/podium conduct (limiting profanity, using a substitute word) across his career.",NA,FALSE,FALSE,delegated,IN-3 profanity limits for own public speech; compound Type resolved to personal rule,59
P20,pilot,person,p4,TRUE,TRUE,NA,Rick Pitino,"college head coach (St. John's 2023- ; formerly Providence, Kentucky, Louisville, Iona; NBA Knicks and Celtics)","I should never, ever mention a name",exact_as_printed,"He took responsibility for singling players out in front of the media. ""I should never, ever mention a name,"" Pitino said. ""I'm a veteran coach. I tell every young coach in the business: Show class when you win; show class when you lose; give the other team credit.""","Remarks to media, February 21, 2024, quoted in Yahoo Sports article",article,2024-02-21,day,said,FALSE,personal rule,"""Rick Pitino"" publicly",https://sports.yahoo.com/rick-pitino-apologizes-for-publicly-criticizing-st-johns-players-takes-all-the-blame-i-have-failed-them-172552900.html,"Rule against naming players when criticizing publicly, stated while walking back his own postgame criticism","Same fetched article also quotes: ""I wasn't ripping them. That wasn't my intent. But words matter."" and ""I'm a veteran coach. I tell every young coach in the business: Show class when you win; show class when you lose""; context: apology for criticizing St. John's players by name after the Feb 18, 2024 Seton Hall loss. Yahoo Sports article. Quote confirmed verbatim. WebFetch rendered 'l tell' (lowercase-L) in one pass — likely serif font-rendering artifact for 'I tell'; passage_context uses corrected form.",NA,NA,ken_full_review,"rule, highly relevant",60
C06,census_b1,person,c4,TRUE,TRUE,NA,Billy Donovan,"Head coach, men's basketball, University of Florida (1996-2015; at time of statement)","When people start getting into forecasting where they're going to be or what they're going to do, and I've seen a lot of coaches over the years come out and say, 'No, no, no, no, I'm not going anywhere, I'm not going anywhere,' and then all of a sudden they go somewhere, and it's like, 'Well, this guy is a complete liar.' I don't want to get into that situation.",exact_as_printed,"Donovan was speaking to reporters about NBA coaching interest (the Cleveland Cavaliers had reportedly contacted him) while he remained at Florida. He said: 'All I can say is I love Florida, I'm happy here ... the school's been great to me. But at the same point, some of the NBA stuff, as I've said before, is intriguing in a lot of ways -- the basketball part of it.' He then said: 'I think when you start making guarantees about life and start making guarantees about where you're going to be, that's not good because if for some reason I ever change my mind and did something, I wouldn't want (people) saying, ""Well, he promised, he guaranteed, he said this on record."" I just think when you start doing that, that's a mistake.' He continued: 'When people start getting into forecasting where they're going to be or what they're going to do, and I've seen a lot of coaches over the years come out and say, ""No, no, no, no, I'm not going anywhere, I'm not going anywhere,"" and then all of a sudden they go somewhere, and it's like, ""Well, this guy is a complete liar."" I don't want to get into that situation.'","ESPN Men's College Basketball Blog, article titled ""Billy Donovan doesn't want to lie to you"", by Eamonn Brennan",article,2014-05-28,day,publication date of article,FALSE,personal rule,Billy Donovan not going to come up with something else how can I be honest with the players [partial-quote follow-up search that surfaced this article as a related result],http://www.espn.com/blog/collegebasketballnation/post/_/id/99120/billy-donovan-doesnt-want-to-lie-to-you,Donovan explicitly states his personal rule about not making public guarantees about job/coaching decisions; also evaluates other coaches who publicly denied departure and then left as thereby becoming liars; meets inclusion criteria for personal rules for own public speech and commentary evaluating another coach's public statements,"Article by Eamonn Brennan, ESPN blog, May 28 2014. Context: NBA interest in Donovan while at Florida; Cleveland Cavaliers reportedly contacted him. Article surfaced via partial-quote follow-up search during verification of the Sun-Times Donovan candidates. Identity confirmed: University of Florida men's basketball head coach.",NA,NA,ken_full_review,proposal approved: own rule + coach-on-coach commentary,61
C24,census_b2b11,person,c11,TRUE,TRUE,NA,Dave Joerger,NBA head coach Sacramento Kings 2016-2019,"There was no veiled shots at anybody. [De'Aaron Fox] gushed about him, and [Bogdan Bogdanovic] gushed about him and his ability. It was just out of love and positivity, and people tried to turn it into something between like [Kings general manager Vlade Divac] and I. Vlade and I are [close], like absolutely. Three years now we've been working together, and we love it. I love it.",exact_as_printed,"Joerger told reporters in Minnesota on Monday, a day after his praise for Doncic in Dallas made headlines. On Sunday in Dallas Joerger had said: 'Perhaps there was an idea that there was a ceiling on him. I don't see it, unfortunately for us. But he's great for them and he's great for our league.' Joerger then clarified on Monday: 'There was no veiled shots at anybody. [De'Aaron Fox] gushed about him, and [Bogdan Bogdanovic] gushed about him and his ability. It was just out of love and positivity, and people tried to turn it into something between like [Kings general manager Vlade Divac] and I. Vlade and I are [close], like absolutely. Three years now we've been working together, and we love it. I love it.' Joerger also said: 'When we drafted Marvin at 2, we were high-fiving like crazy. We got the right guy for us and where we're going to be.'",Press availability to reporters in Minneapolis (Timberwolves game day),article,2018-12-17,day,ESPN article confirmed December 17 2018; article references Monday for the walk-back after the Sunday Dallas statement,FALSE,reflection,q4-ALWAYS20-p2: Dave Joerger basketball call-out critic OR criticism OR publicly (lead surfaced Joerger/Divac/Doncic story; followed up with Dave Joerger Luka Doncic Marvin Bagley draft press media quote),https://www.espn.com/nba/story/_/id/25561727/sacramento-kings-coach-dave-joerger-no-veiled-shots-anybody-praising-dallas-mavericks-rookie-luka-doncic,Walk-back of own publicized statement about Luka Doncic; Joerger had praised Doncic in Dallas the day before in terms widely interpreted as veiled criticism of Kings front office draft decision; he explicitly addresses how his public words were interpreted and clarifies his intent,Original statement made Dec 16 in Dallas; clarification Dec 17 in Minneapolis; editorial brackets in printed quote are as printed in ESPN article; second Joerger quote (When we drafted Marvin at 2 ...) recorded in passage_context only,FALSE,FALSE,delegated,IN-2 walk-back/clarification of own publicized statement (P13/P16/P18/P19),63
C78,census_b2b11,person,c34,TRUE,TRUE,NA,Mark Jackson,"Head coach, Golden State Warriors, discussing his prior broadcasting career","I'm not doing it to kill anybody. All I'm doing is speaking the facts, the same way if a coach would make a mistake, I'm going to speak the facts... Just because I'm a coach, I'm not going to all of a sudden think that every coach makes the right move. That's just not the case. I'm just going to speak the facts.",printed_with_ellipsis,"Asked, ""Did any players ever come up to you after games and argue with what you said on television?"" Jackson answered: ""Oh, yeah. There weren't a lot. In six or seven years, I've probably had only one guy really upset at something that I said, and that guy I know very well"" (an account strongly implying Jason Kidd, then with the Nets, not speaking to him for a period after on-air criticism). He continued: ""I'm not doing it to kill anybody. All I'm doing is speaking the facts, the same way if a coach would make a mistake, I'm going to speak the facts."" And: ""Just because I'm a coach, I'm not going to all of a sudden think that every coach makes the right move. That's just not the case. I'm just going to speak the facts.""","Grantland, The Triangle (Jonathan Abrams)",article,2011-10-12,day,"Grantland article byline dated October 12, 2011",FALSE,personal rule,book excerpt (media OR press),https://grantland.com/the-triangle/qa-golden-state-warriors-coach-mark-jackson/,"Jackson states a personal rule for his own broadcast commentary: he will 'speak the facts' about players and coaches alike, a personal rule for his own public/media activity.",Grantland is defunct but this page still resolves live. WebFetch's intermediary model declined to reproduce longer spans citing copyright; passage reconstructed from two independent fetch passes that agreed on wording.,FALSE,FALSE,delegated,IN-3 'speak the facts' rule for own public commentary incl. about coaches; Heinsohn-precedent role,64
P18,pilot,person,p4,TRUE,TRUE,NA,Jim Boeheim,college head coach (Syracuse 1976-2023),"I would like to clarify remarks I made in a conversation I had with a media member following our game on Saturday evening. I apologize to the schools I mentioned. I believe the ACC member institutions are in compliance with NCAA rules governing Name, Image and Likeness (NIL). It was not my intention to imply otherwise.",exact_as_printed,"Syracuse men's basketball coach Jim Boeheim has issued an apology after claiming other ACC schools have deceitfully used NIL to build their rosters. ""I would like to clarify remarks I made in a conversation I had with a media member following our game on Saturday evening,"" Boeheim said in a statement. ""I apologize to the schools I mentioned. I believe the ACC member institutions are in compliance with NCAA rules governing Name, Image and Likeness (NIL). It was not my intention to imply otherwise.""","Written statement, February 6, 2023, quoted in Fox Sports story",article,2023-02-06,day,said,FALSE,reflection,"""Jim Boeheim"" apology 2021 reporter height ""I shouldn't have""",https://amp.foxsports.com/stories/college-basketball/syracuse-coach-jim-boeheim-college-basketball-in-awful-place,Clarification and walk-back of his own remarks to a media member about rival rosters,"Original remarks (that Pittsburgh, Wake Forest and Miami 'bought' their teams) were made to a media member Feb 4, 2023; follow-up query descended from prescribed ""Jim Boeheim"" ""press conference"". Fox Sports AMP page. Quote confirmed verbatim across multiple fetches. Surrounding prose confirmed via WebFetch re-fetch.",NA,NA,ken_full_review,reflection implies he regrets commenting on competing teams' compliance,69
T06,topic_sweep,topic,slot 2,FALSE,TRUE,NA,Don Sicko,"Former NCAA Division I men's head basketball coach, Detroit Mercy Titans (1982-1987); prior assistant at Michigan and Kent State; professional scout and hoopcoach.org contributor (identity confirmed by agent t14 via Wikipedia, sports-reference and coachesdatabase); out-of-roster coach","But, don't be over-apologetic either. Keep your level of disappointment at a minimum. Be even-keeled and don't let despair or pessimism seep into your words. Every time you speak publicly, it's an opportunity to ""coach"" your players, constituents and even the media themselves. Don't over-speak. That's often when you can be misinterpreted. Be yourself but be your best self.",exact_as_printed,"Now, most coaches don't and can't have the same ""juice"" as Bird and Rivers but there are certain attributes that all coaches can recognize and put to work when working with the media: Be comfortable in your own skin. Don't try to be ""like"" someone else. Be conversational. That's really what it is. Be respectful of the questioner and everyone and everything you discuss. The moment you're not, it will bite you back. Word always gets back. If a question seems adversarial, don't reciprocate. If a question seems ""dumb"", maybe it is, but answer it as if it isn't. Be humble if things are going well or not. But, don't be over-apologetic either. Keep your level of disappointment at a minimum. Be even-keeled and don't let despair or pessimism seep into your words. Every time you speak publicly, it's an opportunity to ""coach"" your players, constituents and even the media themselves. Don't over-speak. That's often when you can be misinterpreted. Be yourself but be your best self. There are many ways to build a program and media opportunities are great vehicles. Work on this aspect of the profession like you do at all other aspects. Some coaches are great at this phase but all coaches can be effective.","'10 Tips for Coaches to Deal with the Media', hoopcoach.org (Don Sicko)",article,2016-05-13,day,Publish date shown on the article in the 2016-05-13 Wayback capture (snapshot 20160513231855); the live page's 2026-06-08 byline is a site-wide date-migration artifact - the verified tip text exists unchanged in the 2016 capture.,FALSE,advice,"slot 2 (t2, reissue 1) and slot 4 (t4, near-miss): excluded by both agents on the live page's post-cutoff byline; re-dated and recovered by the directing session via Wayback CDX (19 captures 2016-2025) and the 2016 snapshot",https://www.hoopcoach.org/10-tips-for-coaches-to-deal-with-the-media/,"A former Division I head coach's advice list on coaches' public/media conduct (even-keeled postgame tone, speaking publicly as coaching, don't over-speak), framed around Larry Bird's Vogel presser and Doc Rivers' Sterling-episode pressers as models - IN: advice about coaches' public communication including another coach's practice as model.",RECOVERY PROVENANCE: agent t2 verified the 'Don't over-speak' tip verbatim on the live page; full text verified by the directing session in the 2016 snapshot; quote is a run of consecutive list items with order preserved and nothing omitted (list line breaks flattened to spaces). Author bio is the on-page source for the D1-head-coach claim; his specific program was not independently identified - flagged. Out-of-roster coach: collect and flag per D6. SPEAKER ENRICHMENT 2026-07-05: role updated with agent t14's identity confirmation.,NA,TRUE,delegated,"IN-4 former D1 coach's media-conduct advice list incl. other coaches as models; out-of-roster, D6 flag",70
C42,census_b2b11,person,c19,TRUE,TRUE,NA,George Karl,former NBA head coach,"Probably to be more careful. For me, I was thinking about a conversation with the fan. The filter that coaches have to have on when they're coaching, I probably took that off a little too much.",exact_as_printed,"Q: What would you tell your past self before starting this project, knowing how it has been received? A: 'Probably to be more careful. For me, I was thinking about a conversation with the fan. The filter that coaches have to have on when they're coaching, I probably took that off a little too much. Again, it's the first time I've gone through this process.'",Sports Illustrated Q&A — 'George Karl Q&A: This Isn't What I Wanted',article,2017-01-11,day,Article dateline January 11 2017 at SI.com,FALSE,reflection,"[""George Karl"" basketball book excerpt (media OR press)]",https://www.si.com/nba/2017/01/11/george-karl-book-furious-george-reaction-carmelo-anthony-kings-nuggets,Karl explicitly articulates the professional norm that coaches must maintain a public communication filter and acknowledges that writing the memoir violated it; a personal rule about coaches' public speech norms combined with a self-assessment that he violated it,Q&A conducted by SI after backlash from Furious George book publication; Karl is reflecting on the difference between how coaches communicate publicly while active vs. how he communicated in the memoir. The 'filter' framing states a generalizable coaches' norm about public speech.,FALSE,FALSE,delegated,IN-1 self-assessment against the stated coaches'-filter norm; Type corrected to reflection (retrospective self-evaluation dominates),74
L06,stage4b_awn,topic_licensed,awn_pilot,TRUE,TRUE,NA,Al McGuire,"Naismith Hall of Fame coach (Marquette, 1977 NCAA champion); NBC college basketball analyst at publication; CLASSIC ROSTER COACH",You must say what you think with no fear. I don't think you should try to create a Nagasaki or a Hiroshima. I don't think you should try to create an incident. But you have to say what you think.,verbatim,"McGuire: I can't be your friend and your flatterer, too. I'm behind the mike for two hours, and I have to say what I think. And I say it before the fact. Sometimes it's easy and sometimes it's not. I'm not a patsy. I'm not a house man. And I think a lot of the young people trying to get into it are becoming house men. They seem to be favoring what the station or the commissioner of the conference wants. And I think with these people - these guys and girls who are moving into TV - that will only last for a year or so and they'll end up as kamikaze pilots. You must say what you think with no fear. I don't think you should try to create a Nagasaki or a Hiroshima. I don't think you should try to create an incident. But you have to say what you think.","Rocky Mountain News, NCAA Final Four preview column (teleconference interview with Randy Holtz; joint Vitale/McGuire feature)",newspaper_article,1990-03-26,day,"On-record publication date of the newspaper issue in the Access World News database record; Access World News (NewsBank), UCSD license, retrieved 2026-07-06; archived at corpus_v4/staging/stage4b_archives/",FALSE,personal rule,"AWN slot 4: how basketball coaches should handle the media (alltext), page 2 rank 6",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/0EB4D5839A13CCE0,"Classic roster coach's personal rule about public commentary on coaches and games: say what you think, no fear, no manufactured incidents; also his rule 'I really don't read the papers, and I really don't associate with the coaches. I never did even as a coach' (in same source)","Same source also contains a second McGuire span ('I really don't read the papers... I never did even as a coach') reaching back to his coaching practice - candidate extension for Ken. Venue is his analyst role, post-coaching; roster membership is via HOF coach category. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07).",NA,FALSE,delegated,"IN-3: classic roster coach's personal rule for his own public commentary on coaches and games (say what you think, no fear, no manufactured incidents); voiced in his analyst role, noted; second same-source span (never read papers / never associated with coaches, even as a coach) left as a notes-field extension option",75
C04,census_b1,person,c4,TRUE,TRUE,NA,Bill Self,"Head coach, men's basketball, University of Kansas; Naismith Basketball Hall of Fame inductee (2024); active","I shouldn't have done it, because all it did was bring more attention to what was said.",exact_as_printed,"Self released a statement on X requesting any criticism about the team be directed at him, after Kansas guard Zeke Mayo posted racist and threatening messages he had received following the Jayhawks' loss to Texas Tech. In a subsequent Sunday night telephone interview, Self said: 'I shouldn't have done it, because all it did was bring more attention to what was said.' He added: 'I feel like there's been some unfair personal attacks and criticism, but not by people that matter. A lot of that comes from people who are not KU fans.' He also said: 'So much of young people's identify is what people are saying about them on social media. I wanted to get that point out that these kids care.'","Hoops HQ, article titled ""I Shouldn't Have Done It"": Bill Self Regrets Addressing Social Media Hate, by Seth Davis",article,2025-03-03,day,publication date of article containing the telephone interview,TRUE,reflection,Bill Self basketball publicly statement apology retract walk back reporters,https://www.hoopshq.com/big-12/ncaa-mens-basketball-kansas-jayhawks-zeke-mayo,Self reflects on and walks back his own public statement (social media post on X in defense of player Zeke Mayo); meets inclusion criteria for reflections on the coach's own public comments (self-assessment and episode recollection) and apologies/walk-backs of own publicized comments,Self issued the original statement on X on approximately March 1-2 2025 (after Saturday game vs. Texas Tech); the reflection/regret quote appeared in the subsequent telephone interview with Seth Davis published March 3 2025. Near-cutoff: TRUE (2025). Identity confirmed: Kansas men's basketball head coach.,NA,NA,ken_full_review,proposal approved: walk-back of own public statement,78
